DataFrame Code,Column Name,Data Type,Missing Values,Unique Values,Example Value,Description
dfc_001,Port Code,int64,0,115,104,
dfc_001,Date,datetime64[ns],0,120,2024-01-01 00:00:00,
dfc_001,Value,int64,0,27874,6556,
dfc_001,Latitude,float64,0,71,45.806,
dfc_001,Longitude,float64,0,114,-70.397,
dfc_001,Month,int32,0,12,1,
dfc_001,Year,int32,0,10,2024,
dfc_001,State_Code,object,0,14,001,
dfc_001,Border_Code,object,0,2,001,
dfc_001,Measure_Code,object,0,12,001,
dfc_002,State,object,0,14,Maine,
dfc_002,State_Code,object,0,14,001,
dfc_002,Abbr,object,0,14,ME,
dfc_002,Latitude,float64,0,14,44.6937,
dfc_002,Longitude,float64,0,14,-69.3819,
dfc_003,Border,object,0,2,US-Canada,
dfc_003,Border_Code,object,0,2,001,
dfc_004,Measure,object,0,12,Trucks,
dfc_004,Measure_Code,object,0,12,001,
dfc_005,Port Name,object,0,117,Portland,
dfc_005,Port Code,int64,0,117,101,
dfc_006,Month,object,0,12,January,
dfc_006,Month_Number,object,0,12,01,
